date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,1.99,1.876,5.0
2023-09-26 00:00:00,ARIMA-stock,2.155,2.005,5.3
2023-09-26 00:00:00,PMARIMA-stock,6.888,6.302,16.7
2023-09-26 00:00:00,SARIMAX-stock,6.888,6.302,16.7
2023-09-26 00:00:00,LR-model,103.67,101.744,268.40000000000003
2023-09-26 00:00:00,DT-model,1.244,1.056,2.8000000000000003
2023-09-26 00:00:00,RFR-model,1.207,0.992,2.6
2023-09-26 00:00:00,GBR-model_full,1.664,1.443,3.8
2023-09-26 00:00:00,Stacking,16.013,15.962,42.199999999999996
2023-09-27 00:00:00,AR-baseline-stock,1.789,1.682,4.5
2023-09-27 00:00:00,ARIMA-stock,2.151,2.012,5.4
2023-09-27 00:00:00,PMARIMA-stock,5.617,5.172,13.700000000000001
2023-09-27 00:00:00,SARIMAX-stock,5.617,5.172,13.700000000000001
2023-09-27 00:00:00,LR-model,104.162,102.183,269.4
2023-09-27 00:00:00,DT-model,1.286,1.088,2.8000000000000003
2023-09-27 00:00:00,RFR-model,1.256,1.035,2.7
2023-09-27 00:00:00,GBR-model_full,2.204,1.892,5.0
2023-09-27 00:00:00,Stacking,11.251,10.869,28.7
