date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,83.578,65.991,2.7
2023-09-26 00:00:00,ARIMA-spot,90.905,71.882,2.9000000000000004
2023-09-26 00:00:00,PMARIMA-spot,81.012,63.474,2.7
2023-09-26 00:00:00,SARIMAX-spot,81.012,63.474,2.7
2023-09-26 00:00:00,ARIMAX-spot,81.249,64.918,2.7
2023-09-26 00:00:00,LR-model,331.479,281.22,11.799999999999999
2023-09-26 00:00:00,DT-model,461.557,364.223,15.2
2023-09-26 00:00:00,DT_simple-model,461.557,364.223,15.2
2023-09-26 00:00:00,RFR-model_no_stock,415.231,337.534,14.099999999999998
2023-09-26 00:00:00,RFR-model,408.918,332.684,13.900000000000002
2023-09-26 00:00:00,GBR-model_full,216.733,170.802,7.000000000000001
2023-09-26 00:00:00,GBR-model_futures,106.044,79.053,3.3000000000000003
2023-09-26 00:00:00,Stacking,292.019,249.106,10.4
